,Respondent_ID,Name,Age,Gender,City_ID
0,120031,Aniruddh Issac,15-18,Female,CT117
1,120032,Trisha Rout,19-30,Male,CT118
2,120033,Yuvraj  Virk,15-18,Male,CT116
3,120034,Pranay Chand,31-45,Female,CT113
4,120035,Mohanlal Joshi,19-30,Female,CT120
5,120036,Zeeshan Ratta,19-30,Female,CT118
6,120037,Oorja Anne,19-30,Male,CT112
7,120038,Rhea Khanna,19-30,Male,CT116
8,120039,Zara Joshi,46-65,Male,CT116
9,120040,Sana Dhawan,19-30,Female,CT116
10,120041,Misha Warrior,19-30,Female,CT113
11,120042,Kiara Chander,19-30,Female,CT112
12,120043,Kimaya Borde,19-30,Male,CT113
13,120044,Tushar Malhotra,19-30,Male,CT112
14,120045,Azad Gera,65+,Male,CT113
15,120046,Aarav Bath,19-30,Male,CT114
16,120047,Ojas Char,19-30,Male,CT112
17,120048,Advik Baria,19-30,Male,CT116
18,120049,Dhruv Loyal,19-30,Female,CT113
19,120050,Dharmajan Doshi,31-45,Female,CT114
20,120051,Diya Srinivas,19-30,Male,CT118
21,120052,Alia Lala,31-45,Non-binary,CT112
22,120053,Samaira Lad,19-30,Male,CT112
23,120054,Pari Subramaniam,19-30,Male,CT114
24,120055,Umang Sarkar,31-45,Non-binary,CT117
25,120056,Rhea Kar,19-30,Male,CT118
26,120057,Kanav Thaman,19-30,Male,CT117
27,120058,Biju Bera,19-30,Female,CT119
28,120059,Sana Bumb,19-30,Male,CT113
29,120060,Piya Sani,19-30,Male,CT118
30,120061,Yuvaan Kari,19-30,Male,CT116
31,120062,Tanya Deshmukh,19-30,Male,CT116
32,120063,Diya Sunder,19-30,Male,CT114
33,120064,Shanaya Kadakia,15-18,Male,CT118
34,120065,Shamik Chaudry,19-30,Male,CT115
35,120066,Yashvi Deo,19-30,Female,CT116
36,120067,Eshani Bahl,65+,Male,CT118
37,120068,Anahi Ganguly,15-18,Female,CT116
38,120069,Kismat Lata,19-30,Female,CT112
39,120070,Anya Gill,31-45,Male,CT116
40,120071,Pranay Tella,15-18,Female,CT113
41,120072,Parinaaz Goel,46-65,Non-binary,CT118
42,120073,Divit Gandhi,19-30,Female,CT116
43,120074,Saanvi Reddy,19-30,Female,CT112
44,120075,Jhanvi Samra,31-45,Male,CT113
45,120076,Ryan Dasgupta,19-30,Male,CT113
46,120077,Tarini Acharya,19-30,Male,CT116
47,120078,Suhana Ramakrishnan,19-30,Female,CT117
48,120079,Heer Suri,31-45,Female,CT113
49,120080,Sana Mand,19-30,Male,CT113
50,120081,Ishaan Sengupta,19-30,Female,CT120
51,120082,Abram Khatri,31-45,Female,CT113
52,120083,Anahita Sidhu,31-45,Female,CT113
53,120084,Myra Ganesan,15-18,Male,CT112
54,120085,Nirvaan Loyal,19-30,Male,CT112
55,120086,Veer Brahmbhatt,31-45,Male,CT119
56,120087,Kaira Bhardwaj,15-18,Female,CT113
57,120088,Heer Ganesan,31-45,Male,CT116
58,120089,Lakshit Bassi,15-18,Male,CT116
59,120090,Rasha Bhavsar,19-30,Male,CT113
60,120091,Advik Ratti,31-45,Female,CT116
61,120092,Baiju Sane,19-30,Male,CT113
62,120093,Shayak Sane,31-45,Female,CT118
63,120094,Armaan Bassi,31-45,Non-binary,CT111
64,120095,Darshit Sami,19-30,Male,CT113
65,120096,Advika Borah,19-30,Male,CT113
66,120097,Sumer Sandal,15-18,Female,CT112
67,120098,Saira Sridhar,19-30,Male,CT117
68,120099,Ivana Bhatti,15-18,Non-binary,CT118
69,120100,Divyansh Bhatt,19-30,Male,CT114
70,120101,Rhea Sagar,31-45,Male,CT116
71,120102,Mannat Chaudry,19-30,Male,CT113
72,120103,Ishaan Raj,19-30,Female,CT117
73,120104,Riya Sengupta,19-30,Male,CT113
74,120105,Nitara Jain,19-30,Male,CT112
